code,product_name,categories_en,ingredients_text,additives_en,nutrition_grade_fr,energy_100g,fat_100g,sugars_100g,proteins_100g,salt_100g,carbohydrates_100g,cholesterol_100g,fiber_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b9_100g,iron_100g
0016000141568,Lucky Charms Cup,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Puffed grains,Puffed cereals,Puffed oat","Whole Grain Oats, Sugar, Oat Flour, Corn* Syrup, Modified Corn** Starch, Dextrose, Salt, Gelatin (Beef), Antioxidant: Trisodium Phosphate (E339) and Mixed Tocopherols (Vitamin E), Canola Oil, Natural and Artificial Flavours, Artificial Colours: Tartrazine (E102)**, Sunset Yellow (E110)**, Allura Red (E129)** and Brilliant Blue (E133), Vitamins and Minerals: Calcium Carbonate (E170), Zinc, Iron, Sodium Ascorbate (Vitamin C), Niacinamide, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin (Vitamin B2), Palmitate (Vitamin A), Thiamin Mononitrate (Vitamin B1), Folic Acid, Vitamin B12, Vitamin D3, * Genetically Modified, ** May have an adverse effect on activity and attention in children","E101 - Riboflavin,E101i - Riboflavin,E102 - Tartrazine,E110 - Sunset yellow FCF,E129 - Allura red ac,E133 - Brilliant blue FCF,E170 - Calcium carbonate,E301 - Sodium ascorbate,E307c - Tocopherol,E339 - Sodium phosphates,E339iii - Trisodium phosphate,E428 - Gelatine",d,1570.0,4.17,35.4,8.33,1.64,81.2,0.0,6.25,0.646,0.000469,0.0187,93.8,0.00159,0.0187,0.000667,0.0169
0016000275263,Cheerios,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Whole Grain _Oats_, Corn Starch, Sugar, Salt, Tripotassium Phosphate, _Wheat_ Starch, Vitamin E (mixed tocopherols) Added to Preserve Freshness, Vitamins and Minerals (Calcium Carbonate, Iron, Zinc (mineral nutrients), Vitamin C (sodium ascorbate), A B Vitamin (niacinamide), Vitamin B5 (pyridoxine hydrochioride), Vitamin A (palmitate), Vitamin B1 (thiamin mononitrate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3)","E170 - Calcium carbonate,E301 - Sodium ascorbate,E340 - Potassium phosphates,E340iii - Tripotassium phosphate",b,1490.0,7.14,3.57,10.7,1.27,71.4,0.0,10.7,0.5,0.000536,0.0214,0.00134,0.000121,0.0179,0.000714,0.0289
0016000275294,Raisin Nut Bran,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Whole Grain _Wheat_, Sugar, Raisins, _Almonds_, Corn Bran, Corn Syrup, Brown Sugar Syrup, Partially Hydrogenated Cottonseed and/or _Soybean_ Oil, Salt, Glycerin, Molasses, Corn Starch, _Soy_ Lecithin, Trisodium Phosphate, Natural and Artificial Flavor","E322 - Lecithins,E322i - Lecithin,E339 - Sodium phosphates,E339iii - Trisodium phosphate,E422 - Glycerol",c,1540.0,6.12,28.6,8.16,1.14,81.6,0.0,12.2,0.449,0.0,0.0,0.000765,0.000867,0.0102,0.000204,0.00918
0016000275324,Mini Trix,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Whole Grain Corn, Sugar, Corn Meal, Corn Syrup, Rice Bran and/or Canola Oil, Salt, Trisodium Phosphate, Natural and Artificial Flavor, Red 40, Yellow 6, Blue 1, and Other Color Added, Citric Acid, Malic Acid. Vitamins and Minerals: Calcium Carbonate, Tricalcium Phosphate, Zinc and Iron (mineral nutrients), Vitamin C (sodium ascorbic), A B Vitamin (niacinamide), Vitamin B6 (pyridoxine hydrochloride), Vitamin B2 (riboflavin), Vitamin B1 (thiamin mononitrate), Vitamin A (palmitate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3.","E101 - Riboflavin,E101i - Riboflavin,E110 - Sunset yellow FCF,E129 - Allura red ac,E133 - Brilliant blue FCF,E170 - Calcium carbonate,E330 - Citric acid,E339 - Sodium phosphates,E339iii - Trisodium phosphate,E341 - Calcium phosphates,E341iii - Tricalcium phosphate",d,1570.0,4.69,31.2,3.12,1.27,84.4,0.0,3.12,0.5,0.000469,0.0187,0.00117,0.00133,0.0156,0.000313,0.0141
0016000275348,Lucky Charms,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereales-pour-petit-dejeuner","Whole Grain Oats, Sugar, Oat Flour, Corn Syrup, Modified Corn Starch, Corn Starch, Dextrose, Salt, Gelatin, Trisodium Phosphate, Yellow 5 & 6, Red 40, Blue 1 and Other Color Added, Natural and Artificial Flavor. Vitamin E (mixed tocopherols) Added to Preserve Freshness. Vitamins and Minerals: Calcium Carbonate, Zinc and Iron (mineral nutrients), Vitamin C (sodium ascorbic), A B Vitamin (niacinamide), Vitamin B6 (pyridoxine hydrochloride), Vitamin B2 (riboflavin), Vitamin B1 (thiamin mononitrate), Vitamin A (palmitate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3.","E101 - Riboflavin,E101i - Riboflavin,E129 - Allura red ac,E170 - Calcium carbonate,E339 - Sodium phosphates,E339iii - Trisodium phosphate,E428 - Gelatine",d,1700.0,3.7,37.0,7.41,1.6,81.5,0.0,7.41,0.63,0.000556,0.0222,92.6,0.00157,0.0185,0.000741,0.0167
0016000275713,Honey Nut Cheerios,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Whole Grain Oats, Sugar, Oat Bran, Corn Starch, Honey, Brown Sugar Syrup, Salt, Tripotassium Phosphate, Rice Bran and/or Canola Oil, Natural _Almond_ Flavor. Vitamin E (mixed tocopherols)Added to Preserve Freshness. Vitamins and Minerals: Calcium Carbonate, Zinc and Iron (mineral nutrients), Vitamin C (sodium ascorbate), A B Vitamin (niacinamide), Vitamin B6 (pyridoxine hydrochloride), Vitamin B2 (riboflavin), Vitamin B1 (thiamin mononitrate), Vitamin A (palmitate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3.","E101 - Riboflavin,E101i - Riboflavin,E170 - Calcium carbonate,E301 - Sodium ascorbate,E340 - Potassium phosphates,E340iii - Tripotassium phosphate",d,1640.0,5.36,32.1,7.14,1.45,78.6,0.0,7.14,0.571,0.000536,0.0214,0.00134,0.00152,0.0179,0.000714,0.0161
0016000483668,Honey Nut Cheerios,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Whole Grain Oats, Sugar, Oat Bran, Corn Starch, Honey, Brown Sugar Syrup, Salt, Tripotassium Phosphate, Rice Bran Oil and/or Canola Oil, Natural _Almond_ Flavor. Vitamin E (mixed tocopherols) added to Preserve Freshness. Vitamins and Minerals: Calcium Carbonate, Zinc and Iron (mineral nutrients), Vitamin C (sodium ascorbic), A B Vitamin (niacinamide), Vitamin B6 (pyridoxine hydrochloride), Vitamin B2 (riboflavin), Vitamin B1 (thiamin mononitrate), Vitamin A (palmitate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3.","E101 - Riboflavin,E101i - Riboflavin,E170 - Calcium carbonate,E340 - Potassium phosphates,E340iii - Tripotassium phosphate",d,1640.0,5.36,32.1,7.14,1.45,78.6,0.0,7.14,0.571,0.000536,0.0214,0.00134,0.00152,0.0179,0.000714,0.0161
0016000486249,Spongebob Squarepants Fruity Splash,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Whole Grain Corn, Sugar, Corn Syrup, Canola and/or Rice Bran Oil, Salt, Color Added, Trisodium Phosphate, Natural Flavor, Pineapple Juice Concentrate. Vitamins and Minerals: Calcium Carbonate, Tricalcium Phosphate, Zinc and Iron (mineral nutrients), Vitamin C (sodium ascorbate), A B Vitamin (niacinamide), Vitamin B6 (pyridoxine hydrochloride), Vitamin B2 (riboflavin), Vitamin B1 (thiamin mononitrate), Vitamin A (palmitate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3.","E101 - Riboflavin,E101i - Riboflavin,E170 - Calcium carbonate,E301 - Sodium ascorbate,E339 - Sodium phosphates,E339iii - Trisodium phosphate,E341 - Calcium phosphates,E341iii - Tricalcium phosphate",c,1610.0,3.85,30.8,3.85,1.12,84.6,0.0,3.85,0.442,0.000577,0.0231,0.00144,0.00163,0.0192,0.000385,0.0173
0016000487727,Cheerios,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products","Whole Grain Oats, Corn Starch, Sugar, Salt, Tripotassium Phosphate, _Wheat_ Starch. Vitamin E (mixed tocopherols) Added to Preserver Freshness. Vitamins and Minerals: Calcium Carbonate, Iron and Zinc (mineral nutrients), Vitamin C (sodium ascorbic), A B Vitamin (niacinamide), Vitamin B6 (pyridoxine hydrochloride), Vitamin A (palmitate), Vitamin B1 (thiamin mononitrate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3","E170 - Calcium carbonate,E340 - Potassium phosphates,E340iii - Tripotassium phosphate",c,1490.0,7.14,3.57,0.0,1.27,71.4,0.0,10.7,0.5,0.000536,0.0214,0.00134,0.000121,0.0179,0.000714,0.0289
0016000487949,Rice Chex,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Whole Grain Rice, Rice, Sugar, Salt, Molasses, Vitamin E (mixed tocopherols) and BHT Added to Preserve Freshness. Vitamins and Minerals: Calcium Carbonate, Iron and Zinc (mineral nutrients), Vitamin C (sodium ascorbic), A B Vitamin (niacinamide), Vitamin B6, (pyridoxine hydrochloride), Vitamin B2 (riboflavin), Vitamin B1 (thiamin mononitrate), Vitamin A (palmitate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3.","E101 - Riboflavin,E101i - Riboflavin,E170 - Calcium carbonate",c,1550.0,1.85,7.41,7.41,2.07,85.2,0.0,3.7,0.815,0.000556,0.0222,0.00139,0.00157,0.0185,0.000741,0.0333
0024094070343,Fusilli no.34,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas","Durum (_wheat_) semolina, niacin, ferrous lactate, thiamine mononitrate, riboflavin, folic acid.  ","E101 - Riboflavin,E101i - Riboflavin,E375 - Nicotinic acid,E585 - Ferrous lactate",a,1490.0,1.79,1.79,12.5,0.0,73.2,0.0,3.57,0.0,0.0,0.0,0.000937,0.000455,0.00714,0.000214,0.00321
0024094070787,Acini di Pepe no. 78,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas","Durum (_wheat_) semolina, niacin, ferrous lactate, thiamine mononitrate, riboflavin, folic acid","E101 - Riboflavin,E101i - Riboflavin,E375 - Nicotinic acid,E585 - Ferrous lactate",a,1490.0,1.79,1.79,12.5,0.0,73.2,0.0,3.57,0.0,0.0,0.0,0.000937,0.000455,0.00714,0.000214,0.00321
0024126010224,"Bunny, Hamburger Buns","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads,Hamburger buns","Unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), water, corn syrup, yeast, soybean oil, contains 2% or less of the following: salt, dough conditioners (monoglycerides, sodium stearoyl lactylate, ascorbic acid, calcium peroxide), wheat gluten, calcium propionate (to retain freshness), yeast nutrients (monocalcium phosphate, calcium sulfate, ammonium sulfate), wheat starch, soy lecithin.","E101 - Riboflavin,E101i - Riboflavin,E282 - Calcium propionate,E300 - Ascorbic acid,E322 - Lecithins,E322i - Lecithin,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E375 - Nicotinic acid,E481 - Sodium stearoyl-2-lactylate,E516 - Calcium sulphate,E517 - Ammonium sulphate,E930 - Calcium peroxide",b,1071.0,3.49,4.65,6.98,1.30048,48.84,0.0,2.3,0.512,0.0,0.0,0.005,0.003953,0.004651,4.3e-05,0.00251
0030000062111,Peanut Butter Crunch,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Corn flour, sugar, _peanut_ butter (_peanuts_, dextrose, hydrogenated vegetable oil [cottonseed and rapeseed oil]**, salt), _oat_ flour, rice flour, _coconut_ oil, salt, caramel color, niacinamide*, reduced iron, zinc oxide, BHT (a preservative), thiamin mononitrate*, pyridoxine hydrochloride*, riboflavin*, folic acid*. *One of the B vitamins **Adds a dietary insignificant amount of trans fat","E101 - Riboflavin,E101i - Riboflavin,E150a - Plain caramel,E321 - Butylated hydroxytoluene (bht)",d,1700.0,9.26,33.3,7.41,1.88,77.8,0.0,3.7,0.741,0.0,0.0,0.00139,0.00157,0.0185,0.00148,0.0167
0030000063019,Cap'n Crunch,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Corn flour, sugar, _oat_ flour, brown sugar, _coconut_ oil, salt, niacinamide*, yellow 5, reduced iron, zinc oxide, yellow 6, thiamin mononitrate*, BHT (a preservative), pyridoxine hydrochloride*, riboflavin*, folic acid*. *One of the B vitamins","E101 - Riboflavin,E101i - Riboflavin,E102 - Tartrazine,E110 - Sunset yellow FCF,E321 - Butylated hydroxytoluene (bht)",e,1700.0,5.56,44.4,3.7,2.07,85.2,0.0,3.7,0.815,0.0,0.0,0.00139,0.00157,0.0185,0.00148,0.0167
0031903033642,"Bashas', Hamburger Buns","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads,Hamburger buns","Unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), water, high fructose corn syrup, yeast, contains 2% or less of each of the following: wheat gluten, salt, vegetable oil (soybean oil or canola oil), dough conditioners (contains one or more of the following: sodium stearoyl lactylate, calcium stearoyl lactylate, monoglycerides and/or diglycerides, calcium peroxide, calcium iodate, datem, ethoxylated mono- and diglycerides, azodicabonamide, enzymes), soy flour, calium sulfate, ammonium sulfate, ascorbic acid, monocalcium phosphate, calcium carbonate, sorbic acid, soy lecithin, calcium propionate (to retard spoilage). if seeded, sesame seeds added. if yellow, contains turmeric, paprika and corn flour.","E101 - Riboflavin,E101i - Riboflavin,E170 - Calcium carbonate,E200 - Sorbic acid,E282 - Calcium propionate,E300 - Ascorbic acid,E322 - Lecithins,E322i - Lecithin,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E375 - Nicotinic acid,E471 - Mono- and diglycerides of fatty acids,E472e - Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,E481 - Sodium stearoyl-2-lactylate,E517 - Ammonium sulphate,E916 - Calcium iodate,E930 - Calcium peroxide",c,1167.0,2.33,9.3,9.3,1.47574,58.14,0.0,2.3,0.581,0.0,0.0,0.005,0.003163,0.003721,4.3e-05,0.00335
00365925,Joe's O's,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","WHOLE GRAIN _OATS_ (INCLUDES THE _OAT_ BRAN), MODIFIED CORN STARCH, SUGAR, _OAT_ FIBER, SALT, TRIPOTASSIUM PHOSPHATE, VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.  ","E340 - Potassium phosphates,E340iii - Tripotassium phosphate",b,1490.0,7.14,3.57,10.7,1.45,71.4,0.0,10.7,0.571,0.000536,0.0214,0.00134,0.00152,0.0179,0.000714,0.0289
0038000045301,Cracklin' Oat Bran,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Whole grain oats, sugar, _wheat_ bran, vegetable oil (palm, palm kernel and/or/_soy_bean oil with TBHQ for freshness), oat bran, corn syrup, _wheat_ starch, _coconut_, contains 2% or less of molasses, malt flavor, cinnamon, salt, baking soda, _soy_ lecithin, natural and artificial flavor, nutmeg","E322 - Lecithins,E322i - Lecithin",d,1710.0,14.3,28.6,8.16,0.7,69.4,0.0,12.2,0.276,0.000245,0.0306,0.000765,0.000867,0.0102,0.000204,0.00367
0038000219344,Rice krispies,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","RICE. SUGAR, CONTAINS 2% OR LESS OF SALT, _MALT_ FLAVOR; BHT ADDD T0 PACKAGING FOR FRESHNESS. IRON, VITAMIN C (ASCORBIC ACID). VITAMIN E (ALPHA TOCOPHEROL ACETATE). NIACINAMIDE. VITAMIN A PALMITATE, VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B2 (HIBOFLAVIN), VITAMIH B1 (THIAMIN HYDROClORIDE), FOLID ACID. VITAMIN B12. VITAMIN D.  ","E101 - Riboflavin,E101i - Riboflavin",d,1670.0,0.0,12.0,8.0,1.42,88.0,0.0,0.0,0.56,0.0009,0.036,0.0009,0.00102,0.012,0.00056,0.0252
